Read 218 positive samples into dataset
Read 60 negative samples into dataset
Loss for epoch 259 is 7.181890442967415
Loss for epoch 260 is 7.158221080899239
Loss for epoch 261 is 7.134779006242752
Loss for epoch 262 is 7.116626933217049
Loss for epoch 263 is 7.0906049609184265
Loss for epoch 264 is 7.068707227706909
Loss for epoch 265 is 7.047798842191696
Loss for epoch 266 is 7.02520877122879
Loss for epoch 267 is 7.001382574439049
Loss for epoch 268 is 6.980950549244881
Loss for epoch 269 is 6.957932353019714
Loss for epoch 270 is 6.935582771897316
Loss for epoch 271 is 6.914070710539818
Loss for epoch 272 is 6.889917761087418
Loss for epoch 273 is 6.868358492851257
Loss for epoch 274 is 6.845805108547211
Loss for epoch 275 is 6.82231330871582
Loss for epoch 276 is 6.799753859639168
Loss for epoch 277 is 6.776249140501022
Loss for epoch 278 is 6.7540715634822845
Loss for epoch 279 is 6.731617420911789
Loss for epoch 280 is 6.71037270128727
Loss for epoch 281 is 6.686530485749245
Loss for epoch 282 is 6.666418105363846
Loss for epoch 283 is 6.643543362617493
Loss for epoch 284 is 6.622738316655159
Loss for epoch 285 is 6.599467322230339
Loss for epoch 286 is 6.5795430690050125
Loss for epoch 287 is 6.556210279464722
Loss for epoch 288 is 6.536112383008003
Loss for epoch 289 is 6.513929858803749
Loss for epoch 290 is 6.491351991891861
Loss for epoch 291 is 6.471201062202454
Loss for epoch 292 is 6.4475583136081696
Loss for epoch 293 is 6.4266451597213745
Loss for epoch 294 is 6.404902517795563
Loss for epoch 295 is 6.382568001747131
Loss for epoch 296 is 6.361095756292343
Loss for epoch 297 is 6.339313447475433
Loss for epoch 298 is 6.317561984062195
Loss for epoch 299 is 6.295602336525917
Loss for epoch 300 is 6.2748177498579025
Loss for epoch 301 is 6.252093553543091
Loss for epoch 302 is 6.231379464268684
Loss for epoch 303 is 6.208927869796753
Loss for epoch 304 is 6.187057659029961
Loss for epoch 305 is 6.16490675508976
Loss for epoch 306 is 6.144071042537689
Loss for epoch 307 is 6.12267878651619
Loss for epoch 308 is 6.101020500063896
Loss for epoch 309 is 6.07759228348732
Loss for epoch 310 is 6.05818384885788
Loss for epoch 311 is 6.0369881093502045
Loss for epoch 312 is 6.013534665107727
Loss for epoch 313 is 5.992886707186699
Loss for epoch 314 is 5.972509920597076
Loss for epoch 315 is 5.950524911284447
Loss for epoch 316 is 5.929483205080032
Loss for epoch 317 is 5.908103764057159
Loss for epoch 318 is 5.885045140981674
Loss for epoch 319 is 5.865639716386795
Loss for epoch 320 is 5.8447595089674
Loss for epoch 321 is 5.824451565742493
Loss for epoch 322 is 5.8025833517313
Loss for epoch 323 is 5.783622652292252
Loss for epoch 324 is 5.761639937758446
Loss for epoch 325 is 5.7399537563323975
Loss for epoch 326 is 5.717979356646538
Loss for epoch 327 is 5.697786942124367
Loss for epoch 328 is 5.672656863927841
Loss for epoch 329 is 5.651634693145752
Loss for epoch 330 is 5.630325824022293
Loss for epoch 331 is 5.608416676521301
Loss for epoch 332 is 5.585199251770973
Loss for epoch 333 is 5.564865469932556
Loss for epoch 334 is 5.538993939757347
Loss for epoch 335 is 5.5170420706272125
Loss for epoch 336 is 5.495555192232132
Loss for epoch 337 is 5.473013073205948
Loss for epoch 338 is 5.449406936764717
Loss for epoch 339 is 5.429907992482185
Loss for epoch 340 is 5.408541619777679
Loss for epoch 341 is 5.389377593994141
Loss for epoch 342 is 5.364169418811798
Loss for epoch 343 is 5.34316548705101
Loss for epoch 344 is 5.321473717689514
Loss for epoch 345 is 5.302280858159065
Loss for epoch 346 is 5.282544627785683
Loss for epoch 347 is 5.259899228811264
Loss for epoch 348 is 5.241615876555443
Loss for epoch 349 is 5.221506670117378
Loss for epoch 350 is 5.201946288347244
Loss for epoch 351 is 5.181038975715637
Loss for epoch 352 is 5.162383675575256
Loss for epoch 353 is 5.14441891014576
Loss for epoch 354 is 5.123863726854324
Loss for epoch 355 is 5.103974744677544
Loss for epoch 356 is 5.085253685712814
Loss for epoch 357 is 5.066387802362442
Loss for epoch 358 is 5.0470859706401825
Loss for epoch 359 is 5.028584465384483
Loss for epoch 360 is 5.0092648565769196
Loss for epoch 361 is 4.990057736635208
Loss for epoch 362 is 4.971802368760109
Loss for epoch 363 is 4.951605916023254
Loss for epoch 364 is 4.9326435178518295
Loss for epoch 365 is 4.915088340640068
Loss for epoch 366 is 4.894193552434444
Loss for epoch 367 is 4.874493286013603
